"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,18-24,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",0.55,21,23,1,1,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Retargeting",male,65+,"Double Day 6.6 | 1-7June 2026",0.55,12,14,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,unknown,35-44,"Test - Service - ทองแท้ 96.5",0.54016738,12,14,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day  -Broad",male,18-24,"Pay Day  |  25-30 June 2026",0.53203656,33,34,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month  -Broad",unknown,35-44,"Mid Month  | 15-17June 2026",0.5299877,15,33,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day -Lookalike",male,45-54,"Pay Day  |  25-30 June 2026",0.52071419,25,26,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,unknown,18-24,"Test - Branding - มากกว่ามูลค่าทอง คือความสุข",0.52045882,21,24,2,1,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month  -Broad",unknown,25-34,"Mid Month  | 15-17June 2026",0.50998817,27,37,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month -Retargeting",unknown,25-34,"Mid Month  | 15-17June 2026",0.5,18,28,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month  -Broad",unknown,45-54,"Mid Month  | 15-17June 2026",0.4999884,12,24,1,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,unknown,45-54,"Test - Trust - ช่องทางชำระเงิน",0.49037796,13,15,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month -Lookalike",male,65+,"Mid Month  | 15-17June 2026",0.4899575,19,21,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,unknown,18-24,"Test - Service - ซื้อทองออนไลน์อย่างมั่นใจ",0.47041427,17,21,1,2,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",0.45,7,7,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,65+,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",0.44999017,3,9,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Broad",unknown,55-64,"Double Day 6.6 | 1-7June 2026",0.44004645,2,7,,,,,,2026-06-01,2026-06-26
