"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,35-44,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",8.26981515,91,268,3,2,1,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,45-54,"Card customize 15-29 May 2026",6.38988995,250,443,4,3,,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,65+,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",6.31985873,135,276,,,,2,34516,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,25-34,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",5.83986946,72,179,6,2,,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,55-64,"Card customize 15-29 May 2026",5.71986843,240,442,3,2,,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,25-34,"Card customize 15-29 May 2026",5.07,232,328,9,6,5,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,65+,"Card customize 15-29 May 2026",5.00988477,186,385,10,8,,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,18-24,"Card customize 15-29 May 2026-Conversion",4.90044286,18,133,2,3,,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,35-44,"Card customize 15-29 May 2026",4.01,209,263,3,2,1,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,55-64,"Card customize 15-29 May 2026",3.52,99,122,4,4,1,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,55-64,"Card customize 15-29 May 2026",3.42994093,101,219,1,1,,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,45-54,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",3.30992601,27,78,1,1,,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,45-54,"Card customize 15-29 May 2026",2.49,74,103,5,2,,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,65+,"Card customize 15-29 May 2026",1.85996797,54,121,1,,,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,18-24,"Card customize 15-29 May 2026",1.72,95,131,3,2,,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,65+,"Card customize 15-29 May 2026-Conversion",1.17010574,9,42,2,,,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,65+,"Card customize 15-29 May 2026",1.1,31,40,2,2,,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,55-64,"Card customize 15-29 May 2026-Conversion",0.74006688,9,27,,,,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,55-64,"Card customize 15-29 May 2026",0.59,29,33,,,,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,65+,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0.58998681,3,23,,,,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,65+,"Card customize 15-29 May 2026",0.37,11,21,,,,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,18-24,"Card customize 15-29 May 2026",0.34,22,29,,,,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,55-64,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0.20999531,5,17,1,,,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,18-24,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0.18999575,6,8,,,,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,25-34,"Card customize 15-29 May 2026",0.11,6,6,,,,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,35-44,"Card customize 15-29 May 2026",0.1,6,6,,,,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,45-54,"Card customize 15-29 May 2026",0.06,2,2,,,,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,65+,"Card customize 15-29 May 2026",0.05,1,5,,,,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,Unknown,"Card customize 15-29 May 2026",0,0,0,,1,,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,Unknown,"Card customize 15-29 May 2026",0,0,0,,2,,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,Unknown,"Card customize 15-29 May 2026-Conversion",0,0,0,,3,,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,Unknown,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0,0,0,,4,,,,2026-05-01,2026-05-31
